t_ms,x_g,y_g,z_g
0.562,0.98,-0.03,-0.01
1.153,1.0,-0.05,-0.0
1.743,1.01,-0.05,0.01
2.305,0.99,-0.03,-0.03
2.895,0.99,-0.03,-0.01
3.485,0.99,-0.06,-0.02
4.076,0.98,-0.04,-0.02
4.666,1.0,-0.04,0.01
5.227,0.99,-0.06,-0.04
5.818,1.0,-0.03,-0.01
6.408,0.99,-0.07,-0.02
6.999,0.99,-0.06,-0.01
7.589,0.99,-0.04,0.05
8.151,0.99,-0.03,-0.0
8.742,0.99,-0.05,-0.01
9.332,0.98,-0.04,-0.0
9.923,1.0,-0.04,0.0
10.485,1.0,-0.03,0.01
11.047,0.99,-0.07,0.01
11.609,1.0,-0.07,-0.02
12.199,0.99,-0.04,-0.02
12.790,0.98,-0.07,-0.02
13.380,0.95,-0.01,-0.0
13.971,0.99,-0.05,-0.0
14.561,0.99,-0.05,-0.04
15.151,1.0,-0.04,0.01
15.713,0.99,-0.07,-0.01
16.303,0.99,-0.06,-0.02
16.893,0.99,-0.04,0.01
17.455,1.02,-0.07,0.0
18.017,1.0,-0.05,0.01
18.579,1.0,-0.06,0.01
19.141,0.97,-0.04,0.0
19.703,1.02,-0.06,-0.03
20.293,1.0,-0.04,-0.03
20.884,0.99,-0.03,0.02
21.446,0.99,-0.03,-0.0
22.036,0.99,-0.03,0.01
22.598,1.0,-0.01,-0.01
23.189,0.99,-0.05,-0.01
23.726,0.99,-0.05,-0.02
24.316,1.01,-0.04,-0.03
24.906,1.0,-0.05,0.05
25.468,0.98,-0.01,0.03
26.030,1.0,-0.06,-0.01
26.621,1.0,-0.04,-0.0
27.211,1.0,-0.04,-0.0
27.802,0.99,-0.03,-0.03
28.392,0.96,-0.08,-0.03
28.983,0.99,-0.01,-0.02
29.573,0.97,-0.07,-0.02
30.163,0.99,-0.04,0.0
30.725,0.99,-0.03,-0.0
31.315,0.99,-0.04,-0.02
31.906,0.99,-0.05,-0.01
32.497,0.99,-0.04,-0.03
33.087,1.01,-0.07,-0.03
33.677,0.97,-0.06,0.01
34.238,0.99,-0.03,0.0
34.800,1.0,-0.07,-0.0
35.391,0.99,-0.04,-0.01
35.981,0.99,-0.04,-0.03
36.554,1.0,-0.04,-0.01
37.142,1.0,-0.07,-0.0
37.733,1.0,-0.01,-0.07
38.323,0.98,-0.06,0.0
38.885,0.99,-0.07,0.0
39.447,0.99,-0.03,-0.02
40.038,0.99,-0.03,-0.01
40.628,1.0,-0.04,-0.02
41.219,1.0,-0.03,0.0
41.781,1.0,-0.05,0.0
42.343,0.99,-0.06,-0.04
42.933,0.99,-0.03,-0.04
43.524,1.0,-0.07,-0.0
44.114,0.99,-0.04,-0.02
44.705,1.0,-0.05,0.08
45.267,0.99,-0.05,-0.08
45.857,1.0,-0.06,-0.0
46.447,0.99,-0.04,-0.01
47.037,1.01,-0.06,-0.02
47.628,0.99,-0.04,-0.0
48.204,0.99,-0.06,0.02
48.765,0.99,-0.0,-0.02
49.356,0.99,-0.05,0.02
49.876,1.0,-0.04,-0.07
50.442,0.99,-0.05,0.0
50.958,0.99,-0.04,-0.03
51.540,1.0,-0.04,-0.01
52.130,0.99,-0.05,-0.01
52.721,1.0,-0.05,-0.0
53.311,1.0,-0.06,-0.0
53.902,0.98,-0.04,-0.04
54.492,0.99,-0.05,-0.05
55.083,0.99,-0.07,-0.02
55.673,0.99,-0.05,-0.02
56.264,0.99,-0.04,-0.04
56.854,1.0,-0.06,-0.02
57.445,1.0,-0.06,-0.0
58.035,0.99,-0.04,0.01
58.597,0.99,-0.05,-0.01
59.188,0.99,-0.05,0.0
59.750,0.97,-0.04,-0.02
60.340,0.98,-0.04,0.0
60.865,0.99,-0.07,-0.0
61.455,0.99,-0.04,-0.02
62.045,0.99,-0.05,0.08
62.607,0.96,-0.03,0.0
63.169,0.98,-0.03,-0.01
63.760,0.99,-0.04,0.0
64.322,0.99,-0.05,0.02
64.884,0.95,-0.04,-0.01
65.474,1.0,-0.06,-0.0
66.065,0.99,-0.04,-0.0
66.655,0.99,-0.05,-0.02
67.246,0.99,-0.04,-0.02
67.836,1.0,-0.06,-0.02
68.427,1.0,-0.06,-0.0
69.017,1.0,-0.03,-0.04
69.608,1.0,-0.07,0.03
70.170,0.99,-0.05,0.05
70.732,1.0,-0.05,-0.01
71.322,0.98,-0.05,0.0
71.884,1.0,-0.05,-0.01
72.459,1.0,-0.06,-0.0
73.049,1.01,-0.04,-0.0
73.640,0.98,-0.04,0.0
74.202,0.99,-0.05,-0.02
74.792,0.99,-0.06,-0.02
75.383,0.99,-0.05,-0.01
75.974,0.99,-0.04,-0.01
76.564,0.99,-0.05,-0.0
77.154,1.01,-0.04,-0.01
77.745,0.99,-0.07,0.01
78.307,1.01,-0.06,0.0
78.869,0.98,-0.03,-0.02
79.459,1.0,-0.05,0.0
80.021,1.0,-0.04,-0.0
80.612,1.01,-0.06,0.0
81.174,0.99,-0.05,0.0
81.736,1.0,-0.06,0.0
82.298,1.01,-0.05,-0.01
82.888,0.97,-0.04,-0.0
83.479,1.0,-0.06,-0.03
84.069,0.99,-0.0,-0.02
84.660,0.98,-0.04,-0.0
85.250,1.0,-0.05,0.05
85.812,0.99,-0.04,0.02
86.374,0.99,-0.04,0.0
86.936,1.0,-0.04,-0.01
87.527,1.0,-0.07,0.05
88.089,0.99,-0.04,0.07
88.651,0.99,-0.05,0.0
89.213,0.99,-0.04,-0.0
89.803,1.0,-0.05,-0.02
90.394,0.99,-0.04,-0.02
90.984,0.99,-0.03,-0.03
91.575,1.0,-0.03,-0.03
92.165,1.0,-0.04,-0.01
92.756,0.99,-0.03,-0.01
93.346,1.0,-0.04,0.03
93.908,0.99,-0.04,0.0
94.470,0.99,-0.04,-0.02
95.061,1.03,-0.04,0.05
95.623,0.98,-0.04,0.07
96.185,1.0,-0.04,0.01
96.747,1.0,-0.07,-0.01
97.321,1.0,-0.06,-0.01
97.912,0.99,-0.05,-0.01
98.502,0.99,-0.04,-0.01
99.092,1.0,-0.03,-0.0
99.682,1.0,-0.01,-0.0
100.273,0.99,-0.03,-0.0
100.864,1.0,-0.06,-0.02
101.454,0.99,-0.04,-0.01
102.044,0.98,-0.04,0.0
102.606,0.99,-0.04,-0.02
103.197,1.0,-0.05,-0.0
103.787,1.01,-0.04,-0.01
104.378,1.0,-0.05,0.05
104.940,0.99,-0.04,0.1
105.502,1.0,-0.05,-0.01
106.092,1.01,-0.04,-0.02
106.683,0.99,-0.03,0.05
107.245,1.0,-0.03,-0.01
107.835,0.99,-0.06,-0.03
108.426,0.99,-0.05,-0.0
109.016,0.99,-0.05,-0.0
109.607,0.98,-0.03,-0.0
110.191,0.99,-0.07,-0.01
110.673,1.0,-0.07,-0.02
111.152,1.0,-0.07,-0.01
111.725,1.0,-0.06,-0.0
112.315,0.99,-0.03,-0.03
112.906,1.0,-0.07,0.05
113.468,1.0,-0.07,-0.01
114.058,1.0,-0.04,-0.0
114.649,1.0,-0.05,-0.03
115.239,1.0,-0.06,-0.0
115.830,1.0,-0.04,0.0
116.392,0.98,-0.06,-0.01
116.983,1.0,-0.05,-0.0
117.506,0.99,-0.07,-0.03
118.062,0.99,-0.04,-0.0
118.653,0.99,-0.07,0.0
119.215,0.99,-0.06,-0.0
119.805,1.0,-0.03,-0.0
120.396,0.99,-0.05,0.0
120.958,0.99,-0.04,0.0
121.462,0.99,-0.04,-0.0
122.052,0.99,-0.04,-0.01
122.643,0.99,-0.03,-0.0
123.233,0.99,-0.07,0.05
123.795,0.99,-0.06,-0.0
124.386,0.99,-0.05,-0.01
124.976,1.0,-0.06,-0.05
125.567,1.0,-0.07,0.02
126.129,0.99,-0.06,-0.02
126.719,0.99,-0.04,0.0
127.280,0.99,-0.04,-0.01
127.871,1.0,-0.04,-0.01
128.462,0.99,-0.03,-0.01
129.052,1.0,-0.05,-0.03
129.642,0.98,-0.04,-0.01
130.233,0.99,-0.04,-0.0
130.823,0.99,-0.06,-0.02
131.414,0.99,-0.04,-0.02
132.004,1.01,-0.04,-0.02
132.595,1.0,-0.03,0.05
133.157,0.99,-0.04,0.02
133.719,0.99,-0.07,-0.01
134.309,0.99,-0.04,-0.03
134.900,1.0,-0.05,0.0
135.462,0.99,-0.06,-0.03
136.052,0.99,-0.04,-0.02
136.643,1.0,-0.03,-0.0
137.233,0.97,-0.04,-0.03
137.824,1.0,-0.05,0.0
138.386,0.99,-0.05,-0.0
138.976,0.99,-0.05,-0.0
139.566,1.0,-0.03,-0.02
140.156,0.99,-0.03,0.0
140.718,0.99,-0.04,-0.01
141.309,0.98,-0.03,-0.0
141.899,0.99,-0.07,0.06
142.461,1.0,-0.05,-0.01
143.052,0.99,-0.07,-0.01
143.642,0.99,-0.04,0.07
144.204,1.0,-0.08,0.0
144.766,0.99,-0.04,0.0
145.328,0.99,-0.03,-0.0
145.904,1.0,-0.06,-0.02
146.494,0.99,-0.05,0.0
147.056,1.0,-0.01,0.0
147.618,1.0,-0.04,-0.0
148.209,1.0,-0.05,-0.01
148.799,0.99,-0.03,-0.0
149.318,0.99,-0.06,-0.01
149.895,0.99,-0.05,-0.03
150.431,0.97,-0.06,-0.01
151.021,0.99,-0.03,0.08
151.583,0.99,-0.04,-0.02
152.174,0.98,-0.03,-0.05
152.765,0.99,-0.06,-0.0
153.355,0.99,-0.05,0.03
153.917,0.99,-0.03,-0.03
154.507,0.98,-0.03,-0.04
155.098,0.98,-0.05,-0.0
155.688,1.01,-0.01,-0.02
156.279,0.99,-0.05,-0.03
156.869,0.99,-0.05,-0.01
157.460,0.99,-0.03,-0.01
158.050,1.0,-0.06,-0.01
158.641,0.99,-0.05,-0.03
159.193,1.0,-0.05,-0.0
159.784,0.99,-0.06,0.0
160.346,0.99,-0.05,0.03
160.908,0.98,-0.03,-0.05
161.498,0.99,-0.04,-0.01
162.089,1.0,-0.05,-0.01
162.679,0.99,-0.04,-0.0
163.270,1.0,-0.06,-0.0
163.860,0.99,-0.05,-0.0
164.451,1.0,-0.05,-0.03
165.041,0.99,-0.06,0.0
165.603,1.0,-0.07,0.0
166.165,1.0,-0.04,-0.03
166.756,0.99,-0.06,-0.01
167.347,0.99,-0.05,0.0
167.908,0.98,-0.02,0.0
168.470,1.0,-0.04,0.01
169.032,0.98,-0.03,-0.02
169.623,0.97,-0.03,-0.01
170.213,0.99,-0.06,-0.03
170.788,0.99,-0.05,-0.01
171.378,0.99,-0.04,0.08
171.940,1.0,-0.01,0.0
172.501,0.99,-0.04,-0.02
173.091,0.99,-0.03,-0.02
173.681,0.99,-0.03,0.0
174.242,1.0,-0.07,-0.01
174.833,0.99,-0.06,0.0
175.395,0.99,-0.01,-0.02
175.985,1.0,-0.05,0.02
176.547,0.98,-0.04,0.0
177.109,0.99,-0.04,-0.01
177.700,1.0,-0.06,-0.0
178.291,1.0,-0.07,-0.0
178.881,1.03,-0.06,0.01
179.443,0.96,-0.04,-0.02
180.033,1.0,-0.05,-0.01
180.624,1.0,-0.04,-0.04
181.214,1.0,-0.06,0.0
181.776,0.98,-0.03,-0.01
182.367,0.99,-0.04,-0.01
182.957,1.0,-0.04,-0.01
183.548,0.99,-0.04,-0.01
184.138,0.97,-0.03,-0.06
184.729,0.99,-0.06,0.05
185.291,0.99,-0.04,-0.02
185.881,0.99,-0.03,0.0
186.443,0.99,-0.06,0.08
187.005,0.98,-0.06,0.0
187.567,0.99,-0.05,0.01
188.128,0.99,-0.05,-0.0
188.719,1.0,-0.05,-0.03
189.309,0.99,-0.06,-0.0
189.900,0.99,-0.03,-0.04
190.490,0.99,-0.05,-0.0
191.081,1.0,-0.03,-0.02
191.671,1.0,-0.05,-0.02
192.262,1.0,-0.05,-0.01
192.853,0.98,-0.06,-0.02
193.443,0.99,-0.04,-0.02
194.033,1.0,-0.06,-0.03
194.624,1.0,-0.06,-0.02
195.198,1.0,-0.05,0.02
195.760,0.99,-0.04,0.09
196.322,0.96,-0.03,-0.0
196.913,0.99,-0.06,-0.0
197.503,0.99,-0.05,-0.0
198.094,0.99,-0.07,-0.03
198.684,0.99,-0.05,-0.02
199.274,0.97,-0.01,-0.01
199.864,0.99,-0.01,-0.02
200.455,1.0,-0.05,-0.03
201.045,1.0,-0.06,0.0
201.607,0.99,-0.03,-0.03
202.198,1.0,-0.05,-0.02
202.788,0.99,-0.01,-0.01
203.379,0.99,-0.05,-0.04
203.969,1.02,-0.01,0.05
204.531,0.99,-0.03,0.05
205.093,0.98,-0.03,0.05
205.655,0.99,-0.07,-0.02
206.246,1.0,-0.03,-0.03
206.836,0.99,-0.04,-0.01
207.426,0.99,-0.03,-0.02
208.016,1.0,-0.03,0.0
208.578,0.99,-0.05,-0.0
209.169,0.98,-0.05,0.01
209.731,1.0,-0.05,-0.01
210.321,0.99,-0.06,-0.03
210.912,1.0,-0.06,-0.04
211.502,1.02,-0.05,0.03
212.064,0.99,-0.04,0.05
212.626,0.99,-0.05,0.08
213.188,1.0,-0.04,0.0
213.750,0.99,-0.04,-0.0
214.341,0.95,-0.07,-0.02
214.931,0.98,-0.01,-0.0
215.522,0.99,-0.07,-0.02
216.112,1.0,-0.05,-0.03
216.703,0.99,-0.05,0.02
217.265,1.0,-0.04,-0.03
217.855,1.0,-0.04,0.0
218.417,0.99,-0.04,-0.0
219.008,1.0,-0.03,-0.03
219.545,1.0,-0.05,-0.02
220.136,0.98,-0.04,0.05
220.698,1.0,-0.05,-0.01
221.288,0.98,-0.01,-0.0
221.879,0.99,-0.06,-0.01
222.469,0.99,-0.04,0.02
223.031,0.96,-0.06,-0.0
223.622,0.99,-0.07,-0.01
224.212,0.99,-0.05,0.0
224.774,1.0,-0.06,-0.02
225.365,1.0,-0.03,-0.02
225.955,1.0,-0.06,-0.03
226.546,1.0,-0.07,-0.04
227.136,0.99,-0.06,-0.02
227.727,0.98,-0.05,-0.01
228.318,1.0,-0.07,-0.02
228.908,0.99,-0.05,0.01
229.470,0.99,-0.07,-0.01
230.060,0.99,-0.04,0.0
230.622,0.99,-0.05,0.04
231.183,0.99,-0.06,0.09
231.745,1.0,-0.04,0.0
232.307,1.0,-0.06,-0.02
232.898,0.99,-0.07,-0.01
233.488,0.98,-0.05,-0.0
234.079,0.99,-0.05,-0.04
234.669,1.0,-0.04,-0.01
235.260,1.0,-0.05,0.0
235.822,1.0,-0.04,0.01
236.384,1.0,-0.05,-0.0
236.974,0.99,-0.03,-0.01
237.564,0.99,-0.06,-0.02
238.154,1.03,-0.06,0.03
238.716,0.99,-0.07,0.07
239.278,0.96,-0.04,-0.01
239.869,1.01,-0.05,0.03
240.431,0.99,-0.04,-0.0
241.022,0.99,-0.04,-0.0
241.612,0.99,-0.06,-0.01
242.202,1.0,-0.03,-0.01
242.793,1.0,-0.06,0.01
243.355,0.99,-0.04,0.0
243.917,0.99,-0.01,-0.01
244.493,0.99,-0.05,-0.01
245.084,1.0,-0.05,-0.0
245.674,1.03,-0.05,-0.04
246.265,0.99,-0.06,0.05
246.827,0.99,-0.04,0.05
247.389,0.99,-0.05,0.01
247.951,0.99,-0.04,-0.01
248.541,0.99,-0.04,-0.02
249.132,1.02,-0.05,-0.03
249.722,0.99,-0.03,-0.03
250.241,0.99,-0.03,-0.0
250.829,0.99,-0.04,0.01
251.345,0.99,-0.05,-0.0
251.927,1.0,-0.04,0.01
252.489,0.99,-0.04,0.0
253.051,0.98,-0.07,0.01
253.613,1.0,-0.06,-0.0
254.203,0.99,-0.07,-0.0
254.794,1.0,-0.03,-0.01
255.384,0.99,-0.03,-0.0
255.975,0.99,-0.05,0.0
256.537,1.01,-0.06,-0.02
257.127,0.99,-0.06,0.05
257.652,0.97,-0.02,0.0
258.214,1.01,-0.05,-0.0
258.805,1.0,-0.04,-0.01
259.395,1.0,-0.06,-0.0
259.986,0.99,-0.04,-0.03
260.576,1.0,-0.03,-0.01
261.167,1.01,-0.05,-0.04
261.757,1.0,-0.05,0.01
262.318,0.98,-0.05,0.05
262.880,0.99,-0.04,-0.02
263.471,1.0,-0.07,-0.01
264.061,1.0,-0.05,-0.0
264.652,1.0,-0.05,-0.0
265.242,0.97,-0.07,-0.01
265.833,0.97,-0.05,-0.04
266.423,0.99,-0.07,-0.03
267.013,0.98,-0.03,-0.0
267.603,0.99,-0.05,-0.01
268.194,0.99,-0.05,-0.0
268.769,0.99,-0.04,-0.02
269.359,1.0,-0.06,-0.04
269.949,0.99,-0.03,-0.03
270.540,0.99,-0.04,0.0
271.102,0.99,-0.04,0.01
271.664,1.0,-0.07,-0.0
272.254,0.99,-0.05,-0.0
272.845,0.98,-0.03,-0.02
273.435,1.03,-0.03,0.06
273.997,0.99,-0.07,0.1
274.559,0.98,-0.03,-0.02
275.150,0.99,-0.06,-0.02
275.740,0.99,-0.04,0.01
276.302,0.99,-0.04,0.0
276.864,1.0,-0.01,-0.0
277.455,0.99,-0.04,-0.03
278.045,1.0,-0.04,-0.02
278.636,0.99,-0.05,-0.0
279.226,0.99,-0.05,-0.01
279.817,1.0,-0.05,0.0
280.379,0.99,-0.05,0.0
280.941,1.0,-0.07,-0.0
281.531,0.99,-0.04,0.09
282.093,0.99,-0.05,0.0
282.654,1.0,-0.07,0.02
283.216,1.0,-0.04,-0.0
283.807,0.99,-0.03,0.02
284.369,0.97,-0.03,-0.0
284.959,1.0,-0.05,-0.02
285.550,0.98,-0.04,0.0
286.112,1.0,-0.03,-0.02
286.702,0.99,-0.07,-0.01
287.293,0.99,-0.05,-0.01
287.883,1.02,-0.05,-0.03
288.474,0.99,-0.03,0.01
289.036,1.0,-0.03,-0.02
289.626,0.98,-0.06,-0.0
290.217,0.99,-0.06,0.0
290.779,0.99,-0.05,-0.01
291.369,1.0,-0.05,-0.01
